Company,Prev Close (Rs),Current Price (Rs),% Change
Manappuram Finance,151.35,181.95,+20.22
Hinduja Global Solut,654.2,786.2,+20.18
Nucleus Software,263.15,316.2,+20.16
FIEM Industries,355.6,426.85,+20.04
Sagardeep Alloys,111.0,133.2,+20.00
Fineotex Chemical Lt,26.45,31.65,+19.66
Allcargo Logistics,79.2,94.75,+19.63
Poddar Pigments,151.0,180.5,+19.54
Unichem Labs,175.1,209.15,+19.45
TGB Banquets,3.6,4.3,+19.44
Newgen Software Tech,149.25,178.25,+19.43
Hikal Ltd.,125.15,148.85,+18.94
Creative Peripherals,76.05,90.35,+18.80
The Byke Hospitality,12.0,14.25,+18.75
APL Apollo Tubes,1552.9,1842.95,+18.68
Tata Communications,611.75,726.0,+18.68
Hind. Food,561.65,666.4,+18.65
The Anup Engineering,383.1,454.55,+18.65
Guj. Amb.Exports,141.6,168.0,+18.64
Deepak Fertilisers,118.55,140.65,+18.64
Nelcast Ltd.,42.45,50.3,+18.49
Mahi. & Mahi,510.7,604.85,+18.44
Jocil Ltd.,149.9,177.4,+18.35
SBI Cards and Pay,630.25,745.75,+18.33
Gravita India Ltd.,41.95,49.6,+18.24
JK Lakshmi Cement L,252.95,299.1,+18.24
Simplex Infrastructu,28.0,33.1,+18.21
PI Industries,1503.95,1776.8,+18.14
Cimmco,16.6,19.6,+18.07
Archidply Industries,23.35,27.55,+17.99
Wanbury,24.2,28.55,+17.98
Zen Technologies Ltd,50.05,59.05,+17.98
KCP Ltd.,47.6,56.15,+17.96
Everest Kanto Cylind,18.65,22.0,+17.96
Cyient Ltd.,275.8,325.05,+17.86
Hindustan Aeronautic,772.15,909.15,+17.74
Balaji Amines Li,493.4,580.7,+17.69
Jubilant Life Scienc,655.45,771.4,+17.69
Ujjivan SmallFinance,29.85,35.05,+17.42
Vadilal Indus.,521.4,612.1,+17.40
RPG Life Sciences,265.75,311.65,+17.27
Mahindra EPC Irrigat,139.25,163.3,+17.27
Tribhovandas Bhimji,29.25,34.25,+17.09
Titagarh Wagons Ltd.,34.15,39.95,+16.98
Cholamandalam Invest,189.4,221.4,+16.90
Eicher Motors,18334.3,21400.95,+16.73
Steel Authority,30.4,35.45,+16.61
Precision Camshafts,26.85,31.3,+16.57
Vimta Labs Ltd.,85.0,99.0,+16.47
MPS Ltd.,277.2,322.85,+16.47
L&T Technology Serv,1283.05,1493.65,+16.41
S H Kelkar & Company,63.3,73.6,+16.27
HDFC Life Insurance,549.0,637.75,+16.17
AGC Networks,292.65,339.9,+16.15
Visaka Indus.,232.95,270.5,+16.12
Westlife Development,307.85,357.25,+16.05
ADF Foods Ltd.,292.45,339.3,+16.02
Bajaj Finance L,2831.0,3284.25,+16.01
Chambal Fertilis,141.95,164.6,+15.96
IndusInd Bank,474.8,550.5,+15.94
BASF India Lt,1137.8,1318.75,+15.90
Affle (India),1460.25,1691.45,+15.83
Chromatic India,0.95,1.1,+15.79
Dhanuka Agritech Ltd,707.5,818.95,+15.75
Metropolis Healthcar,1359.3,1571.85,+15.64
JaiprakashAssociates,2.6,3.0,+15.38
Bosch Ltd.,11418.1,13173.85,+15.38
Hind. Copper,31.7,36.55,+15.30
Agro Tech Foods Ltd.,520.05,599.5,+15.28
Pilani Investmen,1354.1,1560.45,+15.24
Seamec Ltd.,369.55,425.25,+15.07
Marksans Pharma,32.2,37.05,+15.06
Motilal Oswal Financ,591.8,680.05,+14.91
JSW Steel,189.35,217.55,+14.89
Bajaj Consumer Care,146.15,167.9,+14.88
MindTree Ltd.,925.65,1062.75,+14.81
Adani Enterprises Lt,156.25,179.1,+14.62
BSE,443.75,508.25,+14.54
Tin Plate Co.,118.3,135.5,+14.54
Renaissance Global,223.45,255.9,+14.52
The Grob Tea Company,411.7,471.2,+14.45
Orbit Exports Li,59.35,67.9,+14.41
Tata Steel,326.7,373.75,+14.40
3M India Ltd.,18795.25,21501.65,+14.40
Gufic BioSciences Lt,76.4,87.4,+14.40
Goldiam Internat,102.65,117.4,+14.37
Bombay Burmah,1051.65,1202.65,+14.36
Weizmann,24.05,27.5,+14.35
VLS Finance L,46.5,53.15,+14.30
Natco Pharma,631.15,720.85,+14.21
Sanghvi Movers L,58.65,66.95,+14.15
Jindal St & Pwr,161.5,184.25,+14.09
Onward Technolog,62.0,70.65,+13.95
PTL Enterprises,33.85,38.55,+13.88
Asian Granito India,210.2,239.35,+13.87
Cochin Shipyard,300.3,341.95,+13.87
Sharda Cropchem,263.35,299.85,+13.86
Pokarna Ltd.,119.25,135.75,+13.84
Gujarat Fluorochem,356.9,406.1,+13.79
Cholamandalam Financ,295.3,335.85,+13.73
Info Edge (India),2761.85,3140.2,+13.70
Syngene Internationa,400.9,455.8,+13.69
Tata Coffee Ltd.,81.95,93.1,+13.61
PVR Ltd.,1001.7,1136.7,+13.48
Spandana Sphoorty Fi,545.15,618.4,+13.44
Apollo Sindoori Hote,456.6,517.6,+13.36
Lumax Inds.,1084.55,1229.15,+13.33
Gokaldas Exports,40.15,45.5,+13.33
Shreyas Shipping & L,60.4,68.45,+13.33
Jullundur Motor,21.55,24.4,+13.23
MMTC Ltd.,16.8,19.0,+13.10
I G Petrochemicals,138.25,156.35,+13.09
Elgi Equipments,145.5,164.55,+13.09
The Ramco Cements,635.1,718.05,+13.06
Tree House Education,5.0,5.65,+13.00
Phillips Carbon,88.45,99.9,+12.95
AtlasCycles(Haryana),40.95,46.25,+12.94
JM Financial Ltd.,70.0,79.05,+12.93
Orissa Minerals Deve,1599.2,1805.15,+12.88
Tube Investments,444.4,501.6,+12.87
Aptech Ltd.,99.7,112.5,+12.84
Neogen Chemicals,475.2,536.1,+12.82
Inox Leisure,226.55,255.6,+12.82
Bank of Maharash,11.0,12.4,+12.73
Kirloskar Bros.,115.65,130.25,+12.62
Kalyani Steel,196.9,221.6,+12.54
SKM Egg Produc,31.6,35.55,+12.50
Kamat Hotels (In,28.25,31.75,+12.39
Somany Ceramics Ltd.,118.3,132.9,+12.34
GMR Infrastructure L,20.05,22.5,+12.22
Hindalco Indus.,146.2,164.05,+12.21
Va Tech Wabag Ltd.,107.75,120.85,+12.16
Thirumalai Chem.,48.9,54.8,+12.07
Supreme Inds.,1127.7,1263.55,+12.05
Datamatics Global Se,47.2,52.85,+11.97
Agarwal Industrial C,70.4,78.8,+11.93
Vardhman Polytex,7.55,8.45,+11.92
Atul Ltd.,4550.85,5086.95,+11.78
Fortis Healthcare,121.95,136.2,+11.69
Sterlite Technologie,110.1,122.95,+11.67
Hexa Tradex Ltd.,17.7,19.75,+11.58
Balaji Telefilms Ltd,74.75,83.4,+11.57
Kirloskar Ferrou,68.5,76.4,+11.53
Hexaware Technologie,333.3,371.65,+11.51
GIC Housing Fi,81.9,91.25,+11.42
Ambuja Cements Ltd.,193.6,215.6,+11.36
North Eastern Carry,12.35,13.75,+11.34
Fine Organic Indus,1864.35,2075.7,+11.34
Essel Propack Ltd.,180.0,200.35,+11.31
Shalby,69.0,76.8,+11.30
Dalmia Bharat Sugar,109.15,121.35,+11.18
Kalpataru Power,216.55,240.55,+11.08
GPT Infraprojects,23.5,26.1,+11.06
Bajaj Electricals,392.8,435.85,+10.96
Tata Power Co.,44.85,49.75,+10.93
BGR Energy Systems,34.8,38.6,+10.92
Rallis India,272.3,301.75,+10.82
Themis Medicare Ltd.,343.6,380.65,+10.78
BF Utilities Ltd.,204.1,226.1,+10.78
GSFC,53.45,59.2,+10.76
KIOCL,106.55,118.0,+10.75
State Trading,45.6,50.5,+10.75
Mirza International,43.75,48.45,+10.74
Den Networks Ltd.,75.25,83.3,+10.70
Cineline India,23.9,26.45,+10.67
Huhtamaki PPL,203.45,225.1,+10.64
TV Today Network Ltd,184.15,203.7,+10.62
SMS Lifesciences Ind,298.95,330.5,+10.55
Zodiac JRD MKJ L,24.4,26.95,+10.45
Vardhman Holdings,1173.55,1295.9,+10.43
Tata Consumer Produc,387.45,427.7,+10.39
Apollo Pipes,316.1,348.95,+10.39
Max Ventures and Ind,33.95,37.45,+10.31
GE T&D India,75.2,82.9,+10.24
Bhageria Industries,110.8,122.15,+10.24
Autolite (I),16.8,18.5,+10.12
Century Plyboards,118.1,130.05,+10.12
Mold-Tek Packaging,200.75,220.9,+10.04
Ebixcash World Money,428.9,471.3,+9.89
Bharat Electroni,88.65,97.3,+9.76
IDFC First Bank,25.7,28.2,+9.73
Escorts Ltd.,1040.0,1140.8,+9.69
Bajaj Auto Ltd.,2826.05,3099.3,+9.67
Titan Company,949.85,1040.45,+9.54
Premier Explos.,104.4,114.35,+9.53
Ujjivan Financial,220.3,241.2,+9.49
Excel Industries,702.3,768.9,+9.48
Federal Bank,51.0,55.8,+9.41
Narayana Hrudayalaya,268.0,293.2,+9.40
GE Power India,449.05,491.25,+9.40
Galaxy Surfacta.,1479.75,1618.65,+9.39
Tata Consultancy,2082.15,2276.05,+9.31
PTC India,48.5,53.0,+9.28
SBI Life Insurance,806.45,881.1,+9.26
Hester Biosciences L,1211.75,1324.0,+9.26
S Chand & Company,43.25,47.25,+9.25
LT Foods Ltd.,41.6,45.45,+9.25
Ramco Industries,157.6,172.15,+9.23
Bliss GVS Pharma,96.95,105.9,+9.23
Can Fin Homes,337.85,369.05,+9.23
Varroc Engineering,181.85,198.6,+9.21
Tainwala Chem.,47.75,52.15,+9.21
Navin Fluorine Inter,1622.0,1771.25,+9.20
NCL Industries,70.25,76.7,+9.18
Prakash Pipes,54.5,59.5,+9.17
Munjal Showa Ltd,97.75,106.7,+9.16
Hero MotoCorp,2546.95,2780.0,+9.15
