Company,Prev Close (Rs),Current Price (Rs),% Change
AIA Engineering,1606.95,1646.4,+2.45
MOIL Ltd.,140.8,144.25,+2.45
Tantia Constructions,2.1,2.15,+2.38
Foseco India Lim,1022.6,1046.85,+2.37
Timken India Ltd,950.15,972.6,+2.36
SKIL Infrastructure,4.25,4.35,+2.35
Amber Enterprises,1437.85,1471.65,+2.35
Hindustan Unilever L,2180.0,2231.3,+2.35
Greenply Industr,84.1,86.05,+2.32
Varun Beverages Ltd.,680.95,696.75,+2.32
Orient Press Ltd,76.1,77.85,+2.30
Delta Corp Ltd.,86.8,88.8,+2.30
Jyothy Labs,117.5,120.2,+2.30
Adani Gas,152.6,156.05,+2.26
MTNL,9.1,9.3,+2.20
Apollo Tyres,108.0,110.35,+2.18
ICRA Ltd.,2485.85,2539.85,+2.17
Cadila Healthcar,353.1,360.75,+2.17
Shree Rama Newsprint,16.1,16.45,+2.17
ISMT Ltd.,4.65,4.75,+2.15
India Motor Part,509.1,520.0,+2.14
Prime Focus,25.7,26.25,+2.14
Kotak Mahindra Bank,1360.45,1389.45,+2.13
Minda Industries,274.2,280.05,+2.13
Cummins India Lt,392.35,400.65,+2.12
Lokesh Machines,22.3,22.75,+2.02
NHPC,20.0,20.4,+2.00
Commercial Engineers,12.75,13.0,+1.96
J B Chemicals & Phar,707.45,721.0,+1.92
Sadbhav Infrastructu,15.8,16.1,+1.90
Time Technoplast Ltd,37.45,38.15,+1.87
Prime Securities,45.7,46.55,+1.86
Apcotex Industries L,121.2,123.45,+1.86
Godrej Properties Lt,867.1,883.15,+1.85
Selan Exploratio,101.3,103.15,+1.83
RBL Bank,173.5,176.65,+1.82
Cantabil Retail Indi,288.05,293.2,+1.79
Man Industries I,45.4,46.2,+1.76
P&G Hygiene&Health,10151.65,10329.45,+1.75
Vinati Organics,964.2,981.0,+1.74
Phoenix Mills,584.95,595.0,+1.72
NACL Industries L,38.5,39.15,+1.69
Gulf Oil Lubricants,569.95,579.6,+1.69
TCI Ltd.,168.75,171.6,+1.69
ICICI Securities,469.85,477.7,+1.67
Indostar Capital Fin,258.35,262.65,+1.66
Sangam India Ltd,48.45,49.25,+1.65
Sobha,226.9,230.65,+1.65
OnMobile Global Ltd.,29.05,29.5,+1.55
CSB Bank,187.15,190.0,+1.52
Guj. Mineral Dev,39.95,40.55,+1.50
Whirlpool of Ind,2074.8,2105.25,+1.47
Biocon,390.1,395.8,+1.46
Harita Seating Syst.,365.05,370.35,+1.45
Oricon Enterprises L,17.2,17.45,+1.45
Nxtdigital L,392.1,397.7,+1.43
Esab India,1402.0,1421.65,+1.40
Repro India Ltd.,384.95,390.25,+1.38
Safari Indus.,366.0,371.05,+1.38
SJVN Ltd.,21.8,22.1,+1.38
Kapston Facilities,88.1,89.3,+1.36
TV18 Broadcast,33.75,34.2,+1.33
Ganesha Ecosphere,222.45,225.35,+1.30
Panama Petrochem,42.15,42.7,+1.30
Gillette India Ltd.,4982.6,5046.35,+1.28
India Glycols,272.35,275.55,+1.17
Gabriel India,86.55,87.55,+1.16
Xchanging Solutions,47.3,47.85,+1.16
WABCO India,6880.15,6958.6,+1.14
Bharti Airtel,559.85,566.2,+1.13
NRB Bearings Lim,77.55,78.4,+1.10
Prince Pipes & Fitti,108.85,110.05,+1.10
Rail Vikas Nigam,18.85,19.05,+1.06
Precision Wires,100.1,101.15,+1.05
ITC Ltd.,194.65,196.7,+1.05
GMM Pfaudler Ltd,4090.15,4126.65,+0.89
Puravankara,40.25,40.6,+0.87
Indian Energy Exchan,179.75,181.2,+0.81
Oriental Hotels,19.25,19.4,+0.78
Tata Chemicals,310.05,312.4,+0.76
Hi-Tech Pipes Ltd.,107.6,108.4,+0.74
CCL Products India,234.6,236.3,+0.72
Patel Engg. Ltd.,13.95,14.05,+0.72
NIIT Ltd.,94.5,95.15,+0.69
Sumitomo Chemical,273.8,275.65,+0.68
Indoco Remedies,203.8,205.05,+0.61
Revathi Equipment Lt,388.95,391.3,+0.60
Orient Abrasives,16.85,16.95,+0.59
Navkar Corporation L,26.15,26.3,+0.57
FDC Ltd.,279.6,281.05,+0.52
Guj. Sidhee Ceme,29.65,29.8,+0.51
Surya Roshni Ltd,117.75,118.35,+0.51
BF Investment Ltd.,307.75,309.3,+0.50
Cera Sanitaryware L,2210.25,2220.8,+0.48
Radico Khaitan Ltd.,373.5,375.3,+0.48
Torrent Pharmac,2372.1,2383.05,+0.46
Sreeleathers Ltd.,124.95,125.5,+0.44
SundaramBrakeLining,219.05,219.95,+0.41
Deccan Cements,257.75,258.75,+0.39
TCI Developers Ltd.,274.05,275.1,+0.38
SML Isuzu Ltd.,385.5,386.9,+0.36
Redington (India) Lt,87.85,88.15,+0.34
Expleo Solutions,272.05,272.95,+0.33
Alicon Castalloy,251.15,251.9,+0.30
DB Corp,74.1,74.3,+0.27
Asian Hotels (East),136.45,136.8,+0.26
Shriram City Uni,671.4,672.9,+0.22
McDowell Holdings Lt,24.85,24.9,+0.20
Indo Tech Transforme,94.75,94.9,+0.16
City Union Bank,121.3,121.5,+0.16
Great Eastern,212.25,212.6,+0.16
Bal Pharma Ltd,43.25,43.3,+0.12
Network 18 Media & I,40.8,40.85,+0.12
Aditya Birla Fashion,125.3,125.35,+0.04
Sanofi India,7877.25,7879.95,+0.03
