Company,% Change
Garden Silk Mill,-15.9
Sical Logistics,-15.7
Kaya L,-15.62
HOV Services Ltd.,-15.59
Ashoka Buildcon Ltd.,-15.58
Onelife Capital Adv,-15.57
Vascon Engineers Ltd,-15.54
Maral Overseas,-15.52
RS Software (India),-15.4
Signet Industries,-15.38
Shyam Century Ferro,-15.38
IFCI Ltd.,-15.33
Compuage Infocom Ltd,-15.33
Optiemus Infracom,-15.33
Jay Bharat Marut,-15.33
Megasoft Ltd.,-15.29
Ansal Housing L,-15.29
Capital Trust Lt,-15.25
Poddar Housing,-15.06
Banaras Beads Li,-14.69
Indian Terrain Fashi,-14.67
SPL Industries L,-14.63
TD Power Systems Ltd,-14.59
V2 Retail,-14.55
OM Metals Infraproje,-14.51
Vardhman Acrylics Lt,-14.48
Filatex India,-14.43
Carborundum Uni.,-14.42
Godrej Industries Lt,-14.42
Essar Shipping,-14.38
PG Electroplast Ltd.,-14.35
Bharat Wire Ropes Lt,-14.32
Patspin India,-14.29
Future Retail L,-14.28
N K Industries L,-14.23
Ravi Kumar Distiller,-14.2
Sanginita Chemicals,-14.18
Vikas WSP,-14.17
Ashapura Min. Lt,-14.17
Texmo Pipes & Produc,-14.14
Lotus Eye Hospital,-14.13
Vakrangee,-14.12
Sakuma Exports,-14.09
Future Supply Chain,-14.07
Sicagen India,-14.03
RattanIndia Power,-14.0
Bombay Dyeing,-13.96
Tata Teleservices (M,-13.92
Zee Learn Ltd.,-13.89
Tilaknagar Industrie,-13.88
Sundaram Finance,-13.88
Lyka Labs,-13.86
Electrotherm (In,-13.83
Vindhya Telelink,-13.76
Sumit Woods,-13.54
GFL L,-13.49
Sambhaav Media Ltd.,-13.46
Compucom Softwr,-13.41
Dhanlaxmi Bank,-13.4
Sri Havisha Hospital,-13.33
Archies Ltd.,-13.31
Entertainment Networ,-13.26
Punj. & Sind Ban,-13.23
Mangalam Drugs,-13.18
Ansal Properties & I,-13.04
Ind. Inv Trust,-13.03
Manugraph India Ltd.,-12.98
Linc Pen & Plast,-12.94
Raymond Ltd,-12.93
Dynamatic Techno,-12.93
Landmark Property De,-12.9
Mukand Ltd.,-12.89
Libas Designs,-12.89
Orient Electric,-12.89
Sanco Industries,-12.81
Rajshree Sugars,-12.81
Pil Italica Lifestyl,-12.78
Indian Overseas,-12.7
Engineers India,-12.53
Ankit Metal & Power,-12.5
Pressman Advertising,-12.47
South Indian Ban,-12.42
Lakshmi Vilas Ba,-12.36
Vipul Ltd.,-12.35
Prabhat Dairy,-12.21
Websol Energy System,-12.16
Super Spinning,-12.12
S P Apparels Ltd.,-12.06
Avanti Feeds Lim,-11.98
Alchemist,-11.93
SKF India,-11.91
SITI Networks,-11.9
Bedmutha Industries,-11.85
Avadh Sugar & Energy,-11.81
The Investment Trust,-11.76
KPR Mill Ltd.,-11.73
Nila Infrastructures,-11.7
Bhagyanagar India Lt,-11.7
Tourism Finance,-11.68
Aro Granite Indu,-11.65
Zuari Agro Chemicals,-11.63
Nippon LifeAM Ltd.,-11.61
Technocraft Industri,-11.57
Avenue Supermarts,-11.54
Dewan Housing,-11.5
Soma Textiles,-11.48
Inox Wind Ltd.,-11.42
JBM Auto,-11.42
Jamna Auto Inds.,-11.38
Pitti Engineering,-11.32
