Company,% Change
CreditAccess Grameen,-3.23
Kajaria Ceramics,-3.22
OM Metals Infraproje,-3.21
Aro Granite Indu,-3.19
Almondz Global Secur,-3.18
Nelcast Ltd.,-3.18
Granules India L,-3.13
Rajshree Sugars,-3.13
Rama Steel Tubes Ltd,-3.13
Mahamaya Steel Indus,-3.1
Piramal Enterprises,-3.1
Banco Products,-3.08
NBI Industrial Fin,-3.08
ISMT Ltd.,-3.06
Datamatics Global Se,-3.03
GTPL Hathway,-3.03
Commercial Engineers,-2.99
Anik Industries,-2.97
Vaswani Industries L,-2.94
Orbit Exports Li,-2.93
GFL L,-2.92
Nestle India,-2.91
Times Guaranty,-2.91
Indian Terrain Fashi,-2.9
RBL Bank,-2.89
Shree Renuka Sugars,-2.89
Finolex Cables,-2.88
TeamLease Service,-2.88
Cinevista L,-2.86
Creative Eye,-2.86
Jaihind Projects,-2.86
Zicom Electronic,-2.86
Cantabil Retail Indi,-2.85
Lyka Labs,-2.79
Oricon Enterprises L,-2.79
Syncom Healthcare Lt,-2.78
Videocon Industries,-2.7
Orient Cement Ltd.,-2.69
Uniply Industries,-2.68
Guj. Amb.Exports,-2.67
Pritish Nandy Comm.,-2.66
IVP,-2.63
Sumeet Industrie,-2.63
Kothari Sugar,-2.61
GRP L,-2.6
Indian Metal & F,-2.59
HCL Technologies,-2.53
Vardhman Acrylics Lt,-2.53
Nagreeka Exports,-2.51
Network 18 Media & I,-2.51
Repro India Ltd.,-2.51
Sadbhav Engineering,-2.51
Mahi. & Mahi,-2.5
Manaksia Coated Meta,-2.5
Maral Overseas,-2.5
Golden Tobacco Ltd.,-2.48
Cambridge Technology,-2.47
Orient Refractories,-2.47
Kitex Garments,-2.44
Igarashi Motors Indi,-2.43
Prime Securities,-2.41
Equitas Holdings Ltd,-2.4
Nitco Ltd.,-2.38
Central Depository,-2.35
Precision Camshafts,-2.34
CESC Ltd.,-2.32
Rane (Madras),-2.32
Mold-Tek Packaging,-2.3
Eimco Elecon Ind,-2.27
GE Power India,-2.26
Sanghi Industrie,-2.26
Peninsula Land L,-2.25
Banaras Beads Li,-2.23
Gabriel India,-2.23
Precot Meridian Ltd.,-2.23
Bharat Wire Ropes Lt,-2.2
Honda India Power,-2.18
Reliance Ind.Inf,-2.17
SREI Infrastructure,-2.17
Bhagyanagar India Lt,-2.16
Hero MotoCorp,-2.16
Celebrity Fashions L,-2.15
Sadbhav Infrastructu,-2.13
Sandesh,-2.13
Shiva Mills,-2.12
Chennai Petro.,-2.09
Pudumjee Paper Produ,-2.08
Vadilal Indus.,-2.07
Amara Raja Batt.,-2.06
Sunflag Iron,-2.06
Centrum Capital,-2.05
Geojit Financial,-2.05
MCX,-2.04
HDFC Bank,-2.03
Hind. Copper,-2.01
Sanghvi Forging & En,-2.01
Satin Creditcare,-2.01
Redington (India) Lt,-2.0
Beardsell Ltd.,-1.99
Lotus Eye Hospital,-1.99
Hind. Petrol,-1.97
Jai Corp Ltd.,-1.97
Motilal Oswal Financ,-1.97
Shirpur Gold Refiner,-1.97
Entertainment Networ,-1.95
JK Tyre & Industries,-1.93
SORIL Infra Resource,-1.93
Kothari Petroche,-1.92
MphasiS Ltd.,-1.92
Radico Khaitan Ltd.,-1.92
Rossari Biotech,-1.91
Mas Financial Servic,-1.89
Munjal Auto Industr.,-1.89
Oberoi Realty,-1.88
Omax Auto,-1.88
Asahi Songwon Colors,-1.87
Bharat Forge,-1.86
Dr. Lal Pathlabs Ltd,-1.86
Can Fin Homes,-1.84
Foseco India Lim,-1.84
Kaya L,-1.84
Vivimed Labs,-1.84
Bhartiya Interna,-1.82
KDDL Ltd.,-1.8
MOIL Ltd.,-1.8
Magnum Ventures Ltd.,-1.8
SKM Egg Produc,-1.8
KPR Mill Ltd.,-1.77
TTK Prestige L,-1.77
P&G Hygiene&Health,-1.76
Kewal Kiran Clothing,-1.75
Setco Automotive,-1.75
Somany Home Innovat,-1.75
Bhansali Engg.Po,-1.73
KPIT Technologies,-1.73
Bajaj HindusthanSuga,-1.71
Emami Paper Mill,-1.7
Electrosteel Cas,-1.69
IFGL Refractories,-1.69
JTEKT India,-1.69
Gati Ltd.,-1.68
Vinyl Chemicals,-1.68
YES Bank Ltd.,-1.68
Bharat Petroleum,-1.67
VST Tillers Tr,-1.67
Kingfa Science & Tec,-1.65
Sicagen India,-1.65
Dilip Buildcon Ltd.,-1.64
Jayaswal Neco Indust,-1.64
Kridhan Infra,-1.64
Asian Hotels (East),-1.62
SKF India,-1.61
Gallantt Ispat Ltd.,-1.6
Nath Bio-Genes,-1.6
Chembond Chemica,-1.59
Narayana Hrudayalaya,-1.59
Poly Medicure Lt,-1.59
Vikas Proppant & Gra,-1.59
Filatex India,-1.58
Sutlej Textiles & In,-1.56
Swelect Energy Syste,-1.56
Texmaco Rail & Engin,-1.56
Maruti Suzuki India,-1.55
Religare Enterprises,-1.55
Bharat Rasayan,-1.54
Tin Plate Co.,-1.53
MT Educare Ltd.,-1.52
ABB India,-1.51
Nandan Denim,-1.5
Escorts Ltd.,-1.49
MothersonSumiSystems,-1.49
Oswal Green Tech,-1.49
Sarla Performance Fi,-1.49
Techindia Nirman Ltd,-1.49
20 Microns Ltd.,-1.48
BLS International Se,-1.48
Manaksia Ltd.,-1.47
Tata Consultancy,-1.46
Raymond Ltd,-1.45
Cyient Ltd.,-1.44
Vishwaraj Sugar Ind,-1.44
Jain Irrigation,-1.42
Zee Entertainment En,-1.42
Bombay Burmah,-1.41
Dolat Investment,-1.41
Indo Rama Synth.,-1.4
KCP Sugar & In,-1.4
Prism Johnson,-1.4
Rane Brake Lining Lt,-1.39
Seshasayee Paper,-1.39
Talbros Auto.,-1.39
Blue Dart Expres,-1.38
Ansal Housing L,-1.37
Jamna Auto Inds.,-1.37
Intrasoft Technologi,-1.36
Linc Pen & Plast,-1.36
ICICI Lombard Gen.,-1.35
Puravankara,-1.34
TTK Healthcare Ltd.,-1.34
Aurionpro Solutions,-1.32
Metropolis Healthcar,-1.32
Ramco Industries,-1.32
United Spirits,-1.32
STEL Holdings,-1.3
Shriram EPC Ltd.,-1.3
Gayatri Projects,-1.29
HEG Ltd.,-1.29
PDS Multi. Fashions,-1.29
Uttam Sugar Mills,-1.29
Hind Rectifiers,-1.28
Music Broadcast,-1.28
Nahar Capital & Fina,-1.28
Compucom Softwr,-1.27
Shakti Pumps (In,-1.27
Dhunseri Investments,-1.26
Patel Integrated Log,-1.26
DCM Shriram,-1.25
GSFC,-1.25
Omkar Speciality Che,-1.25
Damodar Industries,-1.24
Gokul Refoils & Solv,-1.24
Bandhan Bank,-1.23
Coral India Finance,-1.23
Johnson Controls-Hit,-1.23
Gujarat Gas,-1.22
Vascon Engineers Ltd,-1.21
Elgi Rubber Co.,-1.2
Zydus Wellness Ltd.,-1.2
Astec Lifesciences L,-1.19
National Alumini,-1.19
Crisil,-1.18
Jindal Photo,-1.18
Mahindra Logistics L,-1.18
PPAP Automotive,-1.17
Ruby Mills,-1.17
AYM Syntex,-1.16
B C Power Controls L,-1.16
Hind. Zinc,-1.16
Indo Count Inds.,-1.16
Panama Petrochem,-1.16
Tech Mahindra,-1.16
Titan Company,-1.16
Agro Tech Foods Ltd.,-1.15
Crompton Greaves Con,-1.15
JHS Svendgaard Labor,-1.15
Mangalam Cement,-1.15
Revathi Equipment Lt,-1.15
ADF Foods Ltd.,-1.14
Krebs Biochemicals &,-1.14
Phillips Carbon,-1.14
Super Spinning,-1.14
GE T&D India,-1.13
Insecticides (India),-1.13
Hitech Corporation,-1.12
Indo National,-1.12
Asian Paints Ltd.,-1.11
Maha. Seamless,-1.11
Titagarh Wagons Ltd.,-1.11
Arrow Greentech,-1.1
Artemis Medicare,-1.1
Lumax Auto Technolog,-1.1
Power Mech Projects,-1.1
Atlanta Ltd.,-1.09
Balrampur Chini,-1.09
Rane Engine Valve Lt,-1.09
Adani Ports & Speci,-1.08
Tilaknagar Industrie,-1.08
HDFC,-1.06
Great Eastern,-1.05
JK Cement,-1.05
Oracle Financial Ser,-1.05
Plastiblends Ind,-1.05
R Systems Internat.,-1.04
Shiva Texyarn Ltd.,-1.04
Alchemist,-1.03
Ginni Filaments,-1.01
T T Ltd.,-1.01
Apcotex Industries L,-1.0
Aavas Financiers,-0.98
Ceat Ltd.,-0.98
One Point One Soluti,-0.98
The Hi-Tech Gears,-0.98
Vesuvius India,-0.98
KCP Ltd.,-0.97
Emmbi Industries,-0.96
Poddar Pigments,-0.96
Quick Heal Technolog,-0.96
Shankara Building Pr,-0.96
Shoppers Stop,-0.96
Havells India,-0.95
Max Financial Servic,-0.95
Quess Corp,-0.95
Twentyfirst Cent,-0.95
BF Utilities Ltd.,-0.94
JM Financial Ltd.,-0.94
United Breweries Ltd,-0.94
Bhagyanagar Properti,-0.93
Hexaware Technologie,-0.93
DLF Ltd.,-0.92
GNA Axles,-0.92
Kansai Nerolac Paint,-0.92
Infosys,-0.9
DCW Ltd.,-0.89
I G Petrochemicals,-0.89
Jindal Drilling,-0.89
Raj Television Netwo,-0.89
UFO Moviez India Ltd,-0.89
Hind.ConstructionCo.,-0.88
Indiabulls Housing F,-0.88
SBI Cards and Pay,-0.88
TCI Developers Ltd.,-0.88
Bajaj Holdings & Inv,-0.86
HDFC AMC,-0.86
Indian Oil Corp,-0.86
Sequent Scientific,-0.86
Tainwala Chem.,-0.86
IFB Agro Indus,-0.85
Tokyo Plast Inte,-0.85
CARE Ratings,-0.84
Magadh Sugar & Energ,-0.84
Control Print Ltd.,-0.83
APL Apollo Tubes,-0.82
Birla Cable,-0.82
Safari Indus.,-0.82
Birlasoft,-0.81
Dwarikesh Sugar,-0.81
TVS Motor Co. Ltd.,-0.81
Biocon,-0.8
CL Educate,-0.8
Linde India,-0.8
Nahar Indust.Ent,-0.8
Paramount Commun,-0.8
Shanthi Gears,-0.8
Carborundum Uni.,-0.79
Gujarat Apollo Indus,-0.79
Shree Cement,-0.79
Kalpataru Power,-0.78
Maha. Scooters,-0.78
Time Technoplast Ltd,-0.78
Timken India Ltd,-0.78
Vedanta,-0.77
Mahindra Lifespace D,-0.76
Zen Technologies Ltd,-0.76
Ind. Inv Trust,-0.75
Megasoft Ltd.,-0.75
Parag Milk Foods,-0.74
S H Kelkar & Company,-0.74
Asian Granito India,-0.73
IMP Powers,-0.73
Essar Shipping,-0.72
D B Realty Ltd.,-0.71
Eveready Industr,-0.71
GujaratStatePetronet,-0.71
HIL,-0.71
India Nippon Ele,-0.71
Jubilant Foodworks L,-0.71
Orient Bell,-0.71
Pitti Engineering,-0.71
Varun Beverages Ltd.,-0.71
Dhanuka Agritech Ltd,-0.7
M&M Fin.Services,-0.7
Elgi Equipments,-0.69
IZMO,-0.69
Liberty Shoes Li,-0.69
Alkali Metals Ltd.,-0.68
Emami Ltd.,-0.68
Ponni Sugars (Erode),-0.66
SMS Pharmaceuticals,-0.66
Salzer Electr.,-0.66
Tata Motors Ltd.,-0.66
HG Infra Engineering,-0.65
JMC Projects,-0.65
Kiri Industries,-0.65
AXISCADES Engineer,-0.64
Bajaj Auto Ltd.,-0.64
Cera Sanitaryware L,-0.64
J Kumar Infraproject,-0.64
Jocil Ltd.,-0.64
L&T Infotech,-0.63
MRF Ltd,-0.63
Mukand Engineers,-0.63
ICICI Pru Life,-0.62
M M Forgings Ltd.,-0.62
Pioneer Distille,-0.62
Pioneer Emb.,-0.62
California Softw,-0.61
RS Software (India),-0.61
Page Industries Ltd.,-0.6
Dalmia Bharat L,-0.59
Dredging Corpora,-0.59
KEC International Lt,-0.59
Orient Electric,-0.59
Cybertech System,-0.58
EIH Ltd.,-0.58
Jyothy Labs,-0.58
Schaeffler India,-0.58
AIA Engineering,-0.57
Everest Industries L,-0.57
MEP Infrastructure,-0.57
Allsec Technologies,-0.56
Mawana Sugars Ltd.,-0.56
SMS Lifesciences Ind,-0.56
The Anup Engineering,-0.56
Hercules Hoists,-0.55
RPP Infra Projects L,-0.55
Aarti Ind. Ltd,-0.54
Gulshan Polyols Ltd.,-0.54
KNR Constructions,-0.54
PNC Infratech,-0.54
Goodluck India,-0.53
Orissa Minerals Deve,-0.53
Force Motors,-0.52
Ambuja Cements Ltd.,-0.51
BASF India Lt,-0.51
Eros International M,-0.51
Swaraj Engines,-0.51
Geekay Wires,-0.5
Hindustan Unilever L,-0.5
InterGlobe Aviation,-0.5
Minda Industries,-0.5
ONGC,-0.5
Maheshwari Logist,-0.49
Vaibhav Global,-0.49
GP Petroleums,-0.48
Sreeleathers Ltd.,-0.48
Alkyl Amines Che,-0.47
Honeywell Automation,-0.47
The New India Assur,-0.47
Container Corpor,-0.46
Gillette India Ltd.,-0.46
Kalyani Investment,-0.46
Lumax Inds.,-0.46
Superhouse Ltd.,-0.46
Amber Enterprises,-0.45
Arvind SmartSpaces,-0.45
Hatsun Agro Prod,-0.45
NTPC,-0.45
Sterling and Wilson,-0.45
Globus Spirits Ltd.,-0.44
Lokesh Machines,-0.44
TV18 Broadcast,-0.44
HDFC Life Insurance,-0.43
HUDCO,-0.43
Kirloskar Industries,-0.43
Ganesh Housing,-0.42
Pfizer Ltd.,-0.42
TCI Express,-0.41
TCI Ltd.,-0.41
Bombay Dyeing,-0.4
Healthcare Global En,-0.4
TD Power Systems Ltd,-0.4
Tera Software,-0.4
VIP Indus.,-0.4
Vinati Organics,-0.4
Affle (India),-0.39
Hindalco Indus.,-0.39
Indoco Remedies,-0.39
Jagran Prakashan,-0.39
Shalby,-0.39
NRB Bearings Lim,-0.38
Nitin Spinners,-0.38
Butterfly Gandhima,-0.37
Guj. Mineral Dev,-0.37
Rico Auto Inds.,-0.37
Sagardeep Alloys,-0.37
Apollo Tyres,-0.36
Atul Ltd.,-0.36
Mastek Li,-0.36
Spencer's Retail,-0.36
Sun TV Network Ltd.,-0.36
Nucleus Software,-0.35
Prozone Intu Propert,-0.35
Bajaj Electricals,-0.34
INEOS Styrolution,-0.34
P&G Health,-0.34
Guj. Sidhee Ceme,-0.33
Hind. Composites,-0.33
Kakatiya Cement Suga,-0.33
Praj Industries,-0.32
Goa Carbons,-0.31
NLC India L,-0.31
Sundaram Finance Hol,-0.31
Ador Welding Ltd.,-0.3
ICICI Bank,-0.3
La Opala RG Ltd.,-0.3
Abbott India Ltd.,-0.28
Aditya Birla Money L,-0.28
Anjani Portland,-0.28
Guj. Industries,-0.28
Madras Fertilize,-0.28
Steel Authority,-0.28
Tamilnadu Petroprod,-0.28
Arman Financial Serv,-0.27
Manappuram Finance,-0.27
Paisalo Digital L,-0.27
Tasty Bite,-0.27
Just Dial,-0.26
Oriental Hotels,-0.26
Satia Industries,-0.26
Take Solutions Ltd.,-0.26
SBI Life Insurance,-0.25
SPIC,-0.25
Supreme Petroche,-0.25
G M Breweries Ltd.,-0.24
Harita Seating Syst.,-0.23
Ingersoll Rand,-0.23
Pearl Polymers,-0.23
Subros Ltd.,-0.23
Vaishali Pharma,-0.23
Bajaj Finserv Ltd.,-0.22
Bosch Ltd.,-0.22
GIC Housing Fi,-0.22
Himadri Speciality,-0.22
Minda Corporation,-0.22
Solar Industries Ind,-0.22
Accelya Solutions In,-0.21
Amrutanjan Health Ca,-0.21
Brigade Enterprises,-0.21
Dalmia Bharat Sugar,-0.21
Deepak Nitrite,-0.21
NBCC (India),-0.21
Rashtriya Chemicals,-0.21
Dhunseri Ventures,-0.2
Jump Networks,-0.2
McDowell Holdings Lt,-0.2
Alembic Ltd.,-0.19
Exide Inds.,-0.19
Archidply Industries,-0.18
PSP Projects,-0.18
Star Cement,-0.18
Thirumalai Chem.,-0.18
V-Guard Ind.Ltd.,-0.18
Dhampur Sugar,-0.16
Canara Bank,-0.15
Cords Cable Industri,-0.15
Cummins India Lt,-0.15
Fortis Healthcare,-0.15
KSB Ltd,-0.15
Mold-Tek Technologi.,-0.15
Trigyn Technolog,-0.15
T Nadu Newsprint,-0.13
eClerx Services,-0.13
Nelco Ltd,-0.12
Veto Switchgears & C,-0.12
Inox Leisure,-0.1
Jash Engineering,-0.1
Sandhar Technologies,-0.1
Asian Hotels (North),-0.09
NOCIL Ltd.,-0.09
Avenue Supermarts,-0.08
CCL Products India,-0.08
CSB Bank,-0.08
Engineers India,-0.08
Power Grid Corpo,-0.08
Rane Holdings Ltd.,-0.08
Shalimar Paints,-0.08
Bodal Chemicals,-0.07
Guj. Alkalie & C,-0.06
3M India Ltd.,-0.05
Birla Corporation Lt,-0.05
Bharat Bijlee,-0.04
Chemfab Alkalis,-0.04
Surya Roshni Ltd,-0.04
Godfrey Phillips Ind,-0.03
Rajesh Exports L,-0.01
