Company,% Change
Bank of Maharash,+ 4.64
Rajratan Global Wire,+ 4.60
Lasa Supergenerics,+ 4.56
Poly Medicure Lt,+ 4.45
Deepak Fertilisers,+ 4.38
Pearl Global Industr,+ 4.37
Lokesh Machines,+ 4.36
JBF Industries,+ 4.35
Akash Infra-Projects,+ 4.33
Hexaware Technologie,+ 4.32
Colgate Palm.,+ 4.24
Mangalore Refine,+ 4.23
Dr. Reddy's Labs,+ 4.17
Neuland Laborat,+ 4.15
Syngene Internationa,+ 4.09
Eros International M,+ 4.01
IDFC L,+ 4.01
Kajaria Ceramics,+ 3.97
Satia Industries,+ 3.94
GMR Infrastructure L,+ 3.93
JSW Steel,+ 3.92
Wipro Ltd,+ 3.90
ITI,+ 3.86
Orient Press Ltd,+ 3.80
Munjal Showa Ltd,+ 3.79
Apollo Micro Systems,+ 3.78
ACC,+ 3.74
Tata Steel BSL,+ 3.72
Country Condo's,+ 3.70
Tata Elxsi Ltd.,+ 3.67
Kiri Industries,+ 3.66
Gokul Refoils & Solv,+ 3.58
Sun Pharma.,+ 3.57
Marico Ltd.,+ 3.56
Responsive Industrie,+ 3.55
The Ramco Cements,+ 3.55
Ebixcash World Money,+ 3.54
Intrasoft Technologi,+ 3.53
Sunflag Iron,+ 3.46
Gillanders Arbut,+ 3.45
Adani Gas,+ 3.45
Eveready Industr,+ 3.43
Snowman Logistics Lt,+ 3.42
Celebrity Fashions L,+ 3.41
Aarvee Denims an,+ 3.40
Sanginita Chemicals,+ 3.38
Premier Explos.,+ 3.34
Jubilant Life Scienc,+ 3.33
IDFC First Bank,+ 3.30
Oriental Aromatics,+ 3.30
Nxtdigital L,+ 3.30
Muthoot Finance,+ 3.24
P&G Health,+ 3.21
GMM Pfaudler Ltd,+ 3.20
Akzo Nobel India,+ 3.17
Hind. Food,+ 3.15
Jump Networks,+ 3.14
DCM Financial,+ 3.13
Garden Reach Ship,+ 3.11
Strides Pharma Scien,+ 3.10
Century Plyboards,+ 3.09
Heidelberg Cement In,+ 3.09
Praxis Home Retail L,+ 3.08
TVS Srichakra Lt,+ 3.07
Mask Investments,+ 3.04
Shriram Trans.Fi,+ 3.04
IL&FS Investment Man,+ 3.03
Grasim Inds.,+ 3.02
Cochin Shipyard,+ 3.00
Ramky Infrastructure,+ 2.98
Triveni Eng.&Ind.Ltd,+ 2.94
Goldiam Internat,+ 2.94
KEC International Lt,+ 2.89
Menon Bearings L,+ 2.89
TV Vision,+ 2.86
RPG Life Sciences,+ 2.84
CSB Bank,+ 2.84
SITI Networks,+ 2.78
SKM Egg Produc,+ 2.75
Poddar Pigments,+ 2.64
Lakshmi Machines,+ 2.64
Sun TV Network Ltd.,+ 2.56
PVR Ltd.,+ 2.53
Bharat Rasayan,+ 2.52
Eicher Motors,+ 2.48
STL Global Ltd.,+ 2.47
Nitin Spinners,+ 2.44
SRF Ltd.,+ 2.44
HDFC Life Insurance,+ 2.42
Mindteck (India),+ 2.41
Shree Digvijay,+ 2.38
