Company,% Change
FCS Software Sol.Ltd,-9.8
Sayaji Industries,-9.79
Scan Steels,-9.73
Indraprastha Med,-9.71
NoidaTollBridge,-9.7
Sarda Proteins L,-9.62
MFL India,-9.52
Fredun Pharma,-9.49
AVI Products India,-9.42
Parle Industries,-9.38
AMJ Land Holdings L,-9.36
Tilaknagar Industrie,-9.35
PVV Infra,-9.32
Milestone Furniture,-9.31
Ebixcash World Money,-9.24
Shelter Infra,-9.2
Twinstar Industries,-9.2
Shreyas Shipping & L,-9.19
Cosmo Films,-9.18
Great Eastern,-9.14
Spencer's Retail,-9.14
Billwin Industries L,-9.1
McDowell Holdings Lt,-9.09
Syncom Formul.,-9.09
JK Tyre & Industries,-9.08
Ramky Infrastructure,-9.0
Sunil Industries,-8.98
Uniply Industries,-8.93
Bio Green Papers,-8.89
Mangalore Refine,-8.83
Royal India Corp,-8.82
Punj. & Sind Ban,-8.78
Jaiprakash Power Ven,-8.78
LKP Securities,-8.76
Sharda Ispat Ltd,-8.75
Sharp Investments,-8.7
3M India Ltd.,-8.69
Aayush Food & Herbs,-8.62
Electrotherm (In,-8.6
Nath Industries,-8.58
Ponni Sugars (Erode),-8.55
Margo Finance,-8.53
Caplin Point Lab,-8.52
Duncan Engineering,-8.52
Den Networks Ltd.,-8.51
JK Agri Genetics Ltd,-8.5
Bhilwara Technical,-8.49
Orient Cement Ltd.,-8.39
Shree Cement,-8.34
Sri Havisha Hospital,-8.33
Khoday India,-8.32
Bhandari Hosiery,-8.27
Kabsons Industries,-8.22
Poddar Pigments,-8.21
Shri Keshav Cements,-8.19
PC Jeweller L,-8.18
FACT,-8.18
Amin Tannery L,-8.14
Salasar Techno Engin,-8.14
India Cements Capita,-8.14
JK Lakshmi Cement L,-8.12
G V Films,-8.11
Bengal & Assam Compa,-8.1
Gopala Polyplast,-8.09
Jhandewalas Foods,-8.08
Saksoft Ltd.,-8.06
Best Agrolife,-8.04
Kalyani Steel,-8.01
Gyscoal Alloys Ltd.,-7.96
Gujarat Metallic,-7.93
Jindal Photo,-7.92
Sat Industries Ltd.,-7.89
Shekhawati Poly Yarn,-7.89
Trio Mercantile & Tr,-7.87
Birla Corporation Lt,-7.82
The Andhra Sugars,-7.81
M M Rubber Company,-7.77
Lime Chemicals,-7.73
