Company,% Change
Gallantt Ispat Ltd.,-1.6
Nath Bio-Genes,-1.6
Chembond Chemica,-1.59
Narayana Hrudayalaya,-1.59
Poly Medicure Lt,-1.59
Vikas Proppant & Gra,-1.59
Filatex India,-1.58
Sutlej Textiles & In,-1.56
Swelect Energy Syste,-1.56
Texmaco Rail & Engin,-1.56
Maruti Suzuki India,-1.55
Religare Enterprises,-1.55
Bharat Rasayan,-1.54
Tin Plate Co.,-1.53
MT Educare Ltd.,-1.52
ABB India,-1.51
Nandan Denim,-1.5
Escorts Ltd.,-1.49
MothersonSumiSystems,-1.49
Oswal Green Tech,-1.49
Sarla Performance Fi,-1.49
20 Microns Ltd.,-1.48
BLS International Se,-1.48
Manaksia Ltd.,-1.47
Tata Consultancy,-1.46
Raymond Ltd,-1.45
Cyient Ltd.,-1.44
Vishwaraj Sugar Ind,-1.44
Zee Entertainment En,-1.42
Bombay Burmah,-1.41
Dolat Investment,-1.41
Indo Rama Synth.,-1.4
KCP Sugar & In,-1.4
Prism Johnson,-1.4
Rane Brake Lining Lt,-1.39
Seshasayee Paper,-1.39
Talbros Auto.,-1.39
Blue Dart Expres,-1.38
Jamna Auto Inds.,-1.37
Linc Pen & Plast,-1.36
ICICI Lombard Gen.,-1.35
Puravankara,-1.34
TTK Healthcare Ltd.,-1.34
Aurionpro Solutions,-1.32
Metropolis Healthcar,-1.32
Ramco Industries,-1.32
United Spirits,-1.32
STEL Holdings,-1.3
Shriram EPC Ltd.,-1.3
HEG Ltd.,-1.29
PDS Multi. Fashions,-1.29
Uttam Sugar Mills,-1.29
Hind Rectifiers,-1.28
Music Broadcast,-1.28
Nahar Capital & Fina,-1.28
Dhunseri Investments,-1.26
Patel Integrated Log,-1.26
DCM Shriram,-1.25
GSFC,-1.25
Damodar Industries,-1.24
Gokul Refoils & Solv,-1.24
Bandhan Bank,-1.23
Coral India Finance,-1.23
Johnson Controls-Hit,-1.23
Gujarat Gas,-1.22
