Company,% Change
Rasi Electrodes,-11.15
Bank of Baroda,-11.13
Wendt India,-11.12
Walchandnagar,-11.12
Rodium Realty L,-11.12
Thiru Arooran,-11.11
Agri-Tech (India),-11.11
Darshan Orna,-11.11
Aksh Optifibre,-11.07
Shriram Trans.Fi,-11.04
Indian Hume Pipe,-11.03
Federal Bank,-11.0
Brady & Morris E,-10.99
Peninsula Land L,-10.98
Vinyl Chemicals,-10.94
Vascon Engineers Ltd,-10.93
Baid Leasing and,-10.93
Megastar Foods,-10.88
Poddar Pigments,-10.88
Eastern Silk Indust.,-10.88
AGI Infra Ltd.,-10.85
Aanchal Ispat Ltd.,-10.82
IOL Chemicals and Ph,-10.8
Oswal Green Tech,-10.8
Freshtrop Fruits,-10.79
Skipper Ltd.,-10.77
Vardhman Holdings,-10.74
Monarch Networth Cap,-10.71
Uniply Industries,-10.71
Mold-Tek Technologi.,-10.7
Nava Bharat Ventures,-10.67
Axis Bank Ltd.,-10.67
IIFL Securities,-10.67
Shivansh Finserve,-10.67
TV18 Broadcast,-10.65
Hind. Oil Explor,-10.64
Optimus Finance,-10.58
Jindal Poly Films,-10.57
P G Foils Ltd,-10.56
SPML Infra,-10.55
Makers Lab.,-10.53
DLF Ltd.,-10.44
Orissa Minerals Deve,-10.42
Dynamic Cables,-10.38
SNL Bearings Ltd.,-10.38
Au Small Finance Ban,-10.37
Max Ventures and Ind,-10.32
RBL Bank,-10.28
VLS Finance L,-10.26
Cigniti Technologies,-10.25
Ucal Fuel System,-10.24
Kakatiya Cement Suga,-10.23
Sangam India Ltd,-10.21
Jammu & Kashmir Bank,-10.2
Shreyans Inds.,-10.16
Oberoi Realty,-10.16
Precision Camshafts,-10.14
Blue Star,-10.12
Reliance Power L,-10.11
Mercator Ltd.,-10.09
Aditya Consumer Mark,-10.08
Shanthi Gears,-10.07
Dhunseri Investments,-10.07
Tinna Rubber and Inf,-10.06
Mukta Arts Ltd.,-10.05
Royal Orchid Hotels,-10.04
Sarla Performance Fi,-10.03
Cords Cable Industri,-10.03
PNB Gilts Ltd.,-10.03
Brigade Enterprises,-10.02
GeeCee Ventures,-10.01
Indiabulls Real Esta,-10.0
Cineline India,-10.0
Themis Medicare Ltd.,-9.99
Ganesh Housing,-9.98
Dhanlaxmi Fabric,-9.93
JMC Projects,-9.91
Shubham Polyspin,-9.91
Hindustan Aeronautic,-9.9
Parsvnath Developers,-9.88
Vishnu Chemicals,-9.83
Haryana Leather,-9.82
Tainwala Chem.,-9.81
Titagarh Wagons Ltd.,-9.8
Viaan Industries,-9.78
Aster DM Healthcare,-9.77
Nagreeka Exports,-9.76
