Company,% Change
Symbiox Investment,+5.88
Prince Pipes & Fitti,+5.77
Plastiblends Ind,+5.76
Prism Medico and Pha,+5.70
Royal India Corp,+5.68
Continental Sec,+5.67
Elixir Capital,+5.65
Sterling Guarant,+5.63
Electrosteel Cas,+5.58
Anisha Impex Ltd.,+5.56
Indsil Hydro Power a,+5.55
WEP Solutions,+5.50
Restile Ceramics,+5.50
RS Software (India),+5.48
Ajel Ltd.,+5.45
Alexander Stamps,+5.35
Commercial Syn Bags,+5.29
Tirupati Tyres,+5.29
Shilchar Technologie,+5.26
Kavit Industries,+5.26
Ashari Agencies,+5.26
HB Stockholding,+5.22
Eveready Industr,+5.19
DB (International),+5.06
Prime Urban Dev.,+5.04
Shree Steel Wire,+5.03
Amal Ltd.,+5.03
Asian Oilfield S,+5.01
Abhinav Capital Serv,+5.00
Metkore Alloys & Ind,+5.00
JSW Energy Ltd.,+5.00
Muller&Phipps Lt,+5.00
Astec Lifesciences L,+4.99
Rudra Global Infra P,+4.91
Sanmit Infra,+4.90
Swadeshi Polytex,+4.84
Senthil Infotek,+4.81
DJ Mediaprint & Logi,+4.80
Emami Ltd.,+4.77
Vishvprabha Ventures,+4.76
Super Tex Indust,+4.74
Ashapura Min. Lt,+4.73
Maxgrow India,+4.71
SV Global Mill Ltd.,+4.63
Riba Textiles Li,+4.61
SBC Exports,+4.60
WPIL Ltd.,+4.57
Inducto Steel Li,+4.49
Mukand Ltd.,+4.48
ISMT Ltd.,+4.41
Alankit,+4.40
Milk Food,+4.38
Ashnoor Textile,+4.38
Bannari Amman Su,+4.37
Piccadily Agro I,+4.36
Goblin India,+4.32
Kaushalya Infrastruc,+4.27
Guj. Leasing Fin,+4.21
Sanco Trans,+4.21
JHS Svendgaard Labor,+4.20
5Paisa Capital,+4.18
J. Taparia Projects,+4.17
HDIL,+4.15
Vision Corporation,+4.11
Victoria Mills,+4.09
Radhey Trade Holding,+4.06
Nutraplus India,+4.06
B2B Soft.Tech.Ltd.,+4.03
Retro Green Revoluti,+4.02
Uday Jewellery,+4.01
Bronze Infra Tech Lt,+4.00
Luharuka Media & Inf,+4.00
GSS Infotech,+4.00
Shree Global Tra,+3.97
Shree Rama Multi,+3.97
Rohit Ferro-Tech,+3.97
Bhagwati Auto.,+3.94
Polymechplast Ma,+3.92
Ashima Ltd.,+3.91
Surana Telecom and P,+3.90
Alfa Transformer,+3.90
Indag Rubber,+3.86
Bambino Agro Ind,+3.86
Guj. Hotels Ltd.,+3.81
APM Finvest,+3.79
Kopran Ltd,+3.78
Supreme Inds.,+3.74
Haryana Capfin Ltd.,+3.71
Garnet International,+3.70
Jyoti Resins & A,+3.70
Just Dial,+3.66
BNK Capital Mark,+3.65
Escorts Ltd.,+3.64
Diligent Media Corp,+3.64
Astral Poly Technik,+3.63
Sawaca Business Mach,+3.61
ARSS Infrastructure,+3.61
Neuland Laborat,+3.60
Skyline Millars,+3.58
Tata Motors Ltd.,+3.54
Nishtha Fin. & Inv.,+3.54
Jubilant Foodworks L,+3.54
Dixon Technologies,+3.53
Ambition Mica,+3.51
Kallam Textiles,+3.48
Cressanda Solutions,+3.45
Tube Investments,+3.44
Tata Consumer Produc,+3.44
Shriram City Uni,+3.42
Jindal Capital L,+3.40
Fairchem Speciality,+3.38
Dish TV India Ltd.,+3.34
Gateway Distriparks,+3.32
Kamadgiri Fashion,+3.28
Rajoo Engineers,+3.26
Balkrishna Paper Mil,+3.24
Tata Communications,+3.20
Easun Capital Ma,+3.19
Rossell India,+3.17
Prakash Wool.& Syn.,+3.13
HB Estate Devlpr,+3.10
Zee Entertainment En,+3.09
Butterfly Gandhima,+3.08
Grindwell Norton,+3.07
Mukand Engineers,+3.05
Wintac Ltd.,+3.01
Alicon Castalloy,+2.99
Inani Marbles &,+2.97
Gujarat Apollo Indus,+2.94
India Motor Part,+2.93
Raunaq EPC Intl.,+2.92
G G Engineering,+2.91
Ashirwad Capital,+2.90
Garware Marine,+2.87
Sheela Foam,+2.86
Affle (India),+2.84
Jeevan Scientific,+2.83
Trejhara Solutions L,+2.83
