Company,% Change
Vivo Bio Tech Ltd.,+32.46
Everest Kanto Cylind,+32.43
Sarda Energy & Miner,+32.23
Welspun India,+32.16
Valiant Communic,+32.14
Usha Martin Ltd.,+32.14
Sunil Healthcare,+32.13
Ramkrishna Forgings,+32.10
Goenka Business,+32.07
Dhoot Industrial,+32.03
India Home Loan,+31.98
Paul Merchants,+31.71
Subros Ltd.,+31.62
Goldstone Tech,+31.57
Omax Auto,+31.52
Hotel Rugby Limi,+31.43
Wonderla Holidays Lt,+31.25
Bharat Seats,+31.18
C & C Constructions,+31.07
Rohit Ferro-Tech,+31.00
Ladderup Finance,+30.86
Uniply Decor,+30.82
Ginni Filaments,+30.82
ARSS Infrastructure,+30.80
Tuni Textile Mil,+30.77
Shaily Engineering P,+30.68
Indian Hotels Co,+30.64
Avantel Ltd.,+30.59
Amines & Plast.,+30.58
Neueon Towers,+30.51
Godawari Power & Isp,+30.33
Indag Rubber,+30.32
Remsons Industri,+30.29
Arman Financial Serv,+30.19
Premier Synth.,+30.03
Wallfort Financi,+30.00
Atlas Jewellery,+29.94
Reliance Naval,+29.92
Bhansali Engg.Po,+29.91
Indosolar Ltd.,+29.91
Bharat Wire Ropes Lt,+29.76
Firstobject Technolo,+29.59
Alufluoride Ltd.,+29.51
Switching Tech.,+29.50
IST Ltd.,+29.31
Setco Automotive,+29.31
Elgi Equipments,+29.30
Shyam Century Ferro,+29.03
Prerna Infrabuild Lt,+28.50
NHC Foods,+28.38
CMI L,+28.30
Indo Rama Synth.,+28.23
Saint-Gobain Sekurit,+28.22
Bampsl Securitie,+28.13
Aurionpro Solutions,+28.09
Sintex Industrie,+27.98
Mas Financial Servic,+27.80
Redington (India) Lt,+27.78
Pankaj Piyush Trade,+27.65
Cenlub Industrie,+27.52
Shah Alloys,+27.45
Shukra Pharma,+27.44
Samrat Pharma,+27.43
OM Metals Infraproje,+27.37
Lovable Lingerie Ltd,+27.24
Ruttonsha Intl.,+27.10
Almondz Global Secur,+27.08
EIH Ltd.,+27.05
Vadilal Enterprises,+26.96
G S Auto Interna,+26.87
Odyssey Technolo,+26.87
Shemaroo Entertainme,+26.81
I G Petrochemicals,+26.76
S Chand & Company,+26.68
Gujarat Narmada Vall,+26.62
HB Estate Devlpr,+26.61
SNL Bearings Ltd.,+26.60
Shilp Gravures L,+26.58
Concord Drugs,+26.52
Orient Bell,+26.50
Rupa & Company L,+26.40
Innovassynth Investm,+26.37
ABM Knowledgeware,+26.37
Ashiana Housing Ltd.,+26.35
TCI Ltd.,+26.31
Simbhaoli Sugars,+26.28
Padmanabh Industries,+26.24
Ravindra Energy Ltd.,+26.22
Automotive Axles,+26.22
Rishabh Digha St,+26.18
Parvati Sweetners,+26.15
GE T&D India,+26.13
Polyspin Exports,+26.04
Sanghvi Forging & En,+25.95
Manorama Industries,+25.84
Sical Logistics,+25.82
Technofab Engineerin,+25.81
Panama Petrochem,+25.78
Jain Irrigation,+25.69
Jump Networks,+25.66
Vadilal Indus.,+25.65
Hexa Tradex Ltd.,+25.64
Steel ExchangeIndia,+25.59
Wall Street Fina,+25.45
Rama Steel Tubes Ltd,+25.37
VST Tillers Tr,+25.35
Nesco Ltd.,+25.31
CreditAccess Grameen,+25.21
Gulshan Polyols Ltd.,+25.14
HB Portfolio,+25.08
Acrysil Ltd.,+25.07
IFGL Refractories,+25.04
Classic Global Fin,+25.00
Kiran Vyapar,+25.00
Cholamandalam Financ,+24.91
KDDL Ltd.,+24.88
NIIT Ltd.,+24.82
AMD Industries Ltd.,+24.82
Banaras Beads Li,+24.79
