Company,% Change
Trans Freight Co,+4.80
Oceanaa Biotek Ind,+4.80
Shree Karthik Pa,+4.80
HB Stockholding,+4.80
Inducto Steel Li,+4.80
DJ Mediaprint & Logi,+4.80
GVK Power & Infrastr,+4.80
Alfa Transformer,+4.80
Tarini International,+4.79
Jagan Lamps,+4.78
Hipolin Ltd.,+4.78
Supremex Shine Steel,+4.78
Morarka Finance,+4.78
Digjam L,+4.78
Indian Infotech,+4.76
Landmark Property De,+4.76
Swas.Vinay.Synt,+4.76
K&R Rail Engineering,+4.76
Kanishk Steel In,+4.76
STI India Limi,+4.76
Bhilwara Technical,+4.75
Super Tex Indust,+4.74
Indbank Merchant,+4.74
Kilburn Engg.,+4.74
3i Infotech,+4.74
Quantum Digital Vis.,+4.73
Haryana Capfin Ltd.,+4.73
Hind Aluminium Indus,+4.73
Super Bakers (India),+4.72
Creative Eye,+4.72
Valiant Communic,+4.72
Apoorva Leasing Fina,+4.72
Ramco Systems Lt,+4.70
RattanIndia Power,+4.70
Ishita Drugs & I,+4.69
Super Tannery,+4.69
Pee Cee Cosma,+4.69
Cityman Ltd.,+4.67
MPDL,+4.66
Bengal & Assam Compa,+4.66
Envair Electrodyne,+4.66
Jaiprakash Power Ven,+4.65
Hazoor Multi Project,+4.65
VBC Ferro Allo,+4.65
Prem Somani Fina,+4.64
Ekam Leasing & F,+4.63
P G Industry Ltd,+4.63
Avonmore Capital,+4.63
Zenith Healthcare,+4.63
Cybermt Infotek,+4.63
Aanchal Ispat Ltd.,+4.62
Nicco Parks & Re,+4.62
Solid Stone Company,+4.62
Sintex Plastics Tech,+4.60
Modi Naturals,+4.59
RRIL,+4.59
Comfort Intech,+4.59
SEL Manufacturing Co,+4.55
JVL Agro Industries,+4.55
Venlon Enterprises,+4.55
LancorHoldings Ltd,+4.55
Hotel Rugby Limi,+4.55
Triveni Glass L.,+4.55
Syschem (India),+4.54
Jain Irrigation,+4.53
Dishman Carbogen Amc,+4.53
Mansi Finance,+4.53
Bodhtree Consulting,+4.51
Indosolar Ltd.,+4.51
Gravity (India),+4.50
Hindoostan Mills,+4.50
Gemstone Invest,+4.49
Royal India Corp,+4.49
M K Exim (India) L,+4.47
Alexander Stamps,+4.47
Sical Logistics,+4.47
Parvati Sweetners,+4.46
Vadilal Indus.,+4.46
Kachchh Minerals Ltd,+4.46
Surana Telecom and P,+4.44
Valencia Nutrition L,+4.44
Maximaa Systems,+4.44
Harish Textile Engin,+4.44
Shree Steel Wire,+4.44
Gowra Leasing &,+4.43
Toyam Industries,+4.42
Hind. Organi,+4.42
Ramgopal Polytex,+4.40
Barak Valley Cements,+4.39
Titan Biotech Ltd.,+4.39
Pratik Panels Li,+4.38
Alps Industries,+4.38
Ravalgaon Sugar,+4.38
Global Capital Mark,+4.35
Sun Techno Overseas,+4.35
